GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ale2,aleusers.errorhandling,BadRequestException,0,4,0,0,0,2,0,1,0,1
ale2,aleusers.controller,UserController,0,70,0,6,0,13,0,9,0,6
ale2,aleusers.controller,ParserController,0,23,0,4,0,4,0,4,0,2
ale2,aleusers.consumer,RabbitReceiver,0,9,0,0,0,3,0,2,0,2
ale2,aleusers.service,ParserJSON,0,7,0,0,0,2,0,2,0,2
ale2,aleusers.service,ParserINSERT,0,125,0,8,0,25,0,6,0,2
ale2,aleusers.service,ParserPIPE,0,76,0,4,0,15,0,4,0,2
ale2,aleusers.service,StrategyFinder,0,34,0,6,0,9,0,5,0,2
ale2,aleusers.service,QueueService,0,9,0,0,0,3,0,2,0,2
ale2,aleusers.service,ParserXML,0,16,0,0,0,2,0,2,0,2
ale2,aleusers.service,UserService,0,126,0,8,0,23,0,10,0,6
ale2,aleusers.model,User,0,81,0,0,0,18,0,11,0,11
ale2,aleusers.model,UserDTO,0,24,0,0,0,10,0,7,0,7
ale2,aleusers,App,8,0,0,0,3,0,2,0,2,0
ale2,aleusers.converter,UserConverter,0,39,0,0,0,11,0,3,0,3
